
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
DC:FE:07:A5:75:58, 2018-09-15 16:29:20, 2018-09-15 16:29:24, 11,  54, WPA2 WPA, CCMP TKIP,PSK,   0,       11,        0,   0.  0.  0.  0,  13, CBCI-9D1F-2.4, 
48:60:5F:07:95:76, 2018-09-15 16:29:19, 2018-09-15 16:29:28, 11,  54, WPA2, CCMP,PSK,   0,      359,        2,   0.  0.  0.  0,  16, LG Aristo 2 8980, 
BA:C1:11:C1:AA:C8, 2018-09-15 16:29:19, 2018-09-15 16:29:28, 11,  54, WPA2, CCMP,PSK,   0,        8,        0,   0.  0.  0.  0,  17, Kristine's iPhone, 
EC:BD:1D:5D:68:7E, 2018-09-15 16:29:26, 2018-09-15 16:29:26,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:85:5F, 2018-09-15 16:29:25, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:85:54, 2018-09-15 16:29:24, 2018-09-15 16:29:27,  0,  -1, OPN, ,   ,  -1,        0,        1, 100. 69.235. 16,   0, , 
84:78:AC:98:95:CE, 2018-09-15 16:29:24, 2018-09-15 16:29:24,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:FE:07:A3:A2:51, 2018-09-15 16:29:23, 2018-09-15 16:29:23,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:96, 2018-09-15 16:29:23, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:05:01:20:83:C8, 2018-09-15 16:29:23, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:BD:1D:5C:26:70, 2018-09-15 16:29:23, 2018-09-15 16:29:25,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
E0:AC:F1:C4:54:20, 2018-09-15 16:29:22, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:93, 2018-09-15 16:29:21, 2018-09-15 16:29:23,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:BD:1D:5C:26:7E, 2018-09-15 16:29:21, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:E3:D6:5D:86:F0, 2018-09-15 16:29:19, 2018-09-15 16:29:24,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:97, 2018-09-15 16:29:20, 2018-09-15 16:29:20,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:1A:DD:07:21:24, 2018-09-15 16:29:20, 2018-09-15 16:29:20,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:FE:07:A5:75:61, 2018-09-15 16:29:21, 2018-09-15 16:29:21,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:DA:43:8F:21:A7, 2018-09-15 16:29:22, 2018-09-15 16:29:22,  0,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:1A:DD:07:22:84, 2018-09-15 16:29:22, 2018-09-15 16:29:22,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
C4:13:E2:37:44:54, 2018-09-15 16:29:19, 2018-09-15 16:29:29,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:13:E2:37:44:64, 2018-09-15 16:29:19, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:BD:1D:5C:26:7F, 2018-09-15 16:29:19, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:90, 2018-09-15 16:29:20, 2018-09-15 16:29:30,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:00:00:00:00:00, 2018-09-15 16:29:21, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:9F, 2018-09-15 16:29:27, 2018-09-15 16:29:29,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:13:E2:37:42:A4, 2018-09-15 16:29:28, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:85:50, 2018-09-15 16:29:30, 2018-09-15 16:29:30,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
FE:E9:98:BF:95:F7, 2018-09-15 16:29:30, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:DC:96:30:AC:F2, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, OPN, ,   ,   0,     2452,     1102, 192.168.150.107,  12, Dunkin Guest, 
9A:DC:96:30:AC:F2, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, WPA2, CCMP,PSK,   0,     1928,        0,   0.  0.  0.  0,   0, , 
AA:DC:96:30:AC:F2, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, WPA2, CCMP,PSK,   0,     2249,        0,   0.  0.  0.  0,   0, , 
10:05:01:20:B6:F0, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, WPA2 WPA, CCMP TKIP,PSK,   0,     1461,        0,   0.  0.  0.  0,  13, CBCI-B7E9-2.4, 
A2:CC:2B:A0:7E:93, 2018-09-15 16:29:29, 2018-09-15 16:29:30, 11,  54, WPA2, CCMP,PSK,   0,        9,       27,   0.  0.  0.  0,  23, Samsung Galaxy S8+ 5746, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BE:EE:A0:EC:3F:0F, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
6A:A8:8E:FC:2B:67, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
B2:3C:F1:7D:9D:78, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
76:3B:FC:00:EC:38, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
EE:40:B1:6B:3F:4C, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
A0:CC:2B:37:8E:E8, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
7E:18:89:63:AD:47, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,HOME_Guest_2.4GHz
96:B5:97:24:68:CA, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
76:E0:AC:19:E1:5F, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
26:2B:45:15:4C:3B, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
86:CD:F7:EF:3D:25, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
FE:BA:B9:9F:80:9E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
A6:2C:C1:3F:AB:0E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
FA:FE:66:34:83:BD, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
C2:A7:D8:26:49:A4, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
F0:FE:6B:12:D1:26, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
F6:DF:50:B3:FF:0D, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
22:C6:CD:42:AE:E0, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
1E:EF:8B:58:B1:76, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
0A:7F:FD:AC:20:D6, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
66:75:B1:B9:07:FA, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
1A:27:01:6B:BD:B7, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
0A:0F:A3:95:F1:BD, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        3, (not associated) ,
42:B1:DC:99:4C:D6, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
AA:60:C4:71:1A:F9, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
9E:2F:73:87:0C:8D, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
CE:BB:50:A6:0C:A3, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
CE:4E:62:F6:C3:E7, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
8E:61:F5:97:DD:B1, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
C2:C8:5E:AD:D4:E8, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
B2:22:35:D5:CD:4D, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
10:F1:F2:47:13:59, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        3, (not associated) ,
96:25:43:4A:83:26, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
0A:8E:03:25:25:80, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,TMobileWingman
B4:F1:DA:F3:C2:2A, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
1E:7E:66:81:B5:CE, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
3A:6F:65:F7:ED:BB, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
BE:62:9E:B2:5D:FA, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        3, (not associated) ,TMobileWingman
10:F1:F2:82:DF:DF, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,xfinitywifi
BA:F7:C4:09:C4:86, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,RoKinMart
22:28:42:F4:A7:81, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
E6:D2:86:F4:7A:01, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        4, (not associated) ,TMobileWingman
4C:66:41:5D:B7:4E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,sbb,burg
04:52:F3:BC:DC:44, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,skyfi_secure
32:EC:F6:9D:89:2B, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
16:F6:04:10:67:EE, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
BE:56:F6:3C:83:B4, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
BA:6D:44:A8:AC:2F, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
68:C4:4D:44:F4:41, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        3, (not associated) ,
A2:B7:43:DC:27:D7, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
76:C1:A8:EC:88:C2, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
3E:EB:CA:F6:9C:0B, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
E2:71:61:4F:BF:79, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,TMobileWingman
FA:02:04:54:64:94, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
96:A6:31:61:AA:77, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
16:91:A4:F1:83:6A, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
62:6F:17:1C:80:64, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
46:B8:3D:D1:D1:2B, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
74:E1:B6:A6:14:AE, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
6E:AA:F8:81:BA:96, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
2E:87:A2:59:AA:AF, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
5A:72:FB:01:3B:D0, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
E6:52:94:01:1B:18, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
AA:CC:DE:92:BC:1D, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
86:D0:BD:C8:DD:82, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
A2:BD:64:E3:B2:C8, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
2E:8E:ED:F9:39:4F, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
F6:A7:78:6E:92:F8, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
22:60:3E:27:44:01, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
CE:2A:60:85:5A:6D, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
3A:0C:21:E9:80:05, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
22:C0:44:49:61:AC, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
EA:2E:84:B1:7E:82, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
C6:7F:A4:46:B5:8B, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
92:20:C2:0B:E9:4E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
52:9B:34:F3:74:58, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
AC:37:43:95:9C:D5, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        4, (not associated) ,attwifibn
78:7B:8A:A6:5C:24, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        3, (not associated) ,skyfi_secure
B2:61:FC:0A:1C:FE, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
